Year,Series,Budget Series,Ministry,Department,Activity,Units,Value
2010,By Ministry,Actual,Constitutional Agencies,Public Prosecutor,Planning and Management,Value in Millions (VT),2.376875
2010,By Ministry,Actual,Constitutional Agencies,Public Service Commission,Corporate Services Unit,Value in Millions (VT),29.235141
2010,By Ministry,Actual,Constitutional Agencies,Public Service Commission,Human Resource Development,Value in Millions (VT),6.43789
2010,By Ministry,Actual,Constitutional Agencies,Public Service Commission,Human Resource Management,Value in Millions (VT),0.336178
2010,By Ministry,Actual,Constitutional Agencies,Public Service Commission,Performance Improvement,Value in Millions (VT),0.042
2010,By Ministry,Actual,Constitutional Agencies,Public Service Commission,Public Service Legal Unit,Value in Millions (VT),0.072
2010,By Ministry,Actual,Constitutional Agencies,Public Solicitor,Representation,Value in Millions (VT),17.293106
2010,By Ministry,Actual,Constitutional Agencies,State Law Office,Provision of Legal Advice and Services,Value in Millions (VT),16.139099
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",Increase production of commodity crops,Value in Millions (VT),3.447869
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity","Agriculture, Quarantine, Forestry and Fisheries Cabinet",Payroll & Administration,Value in Millions (VT),7.734385
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security,Value in Millions (VT),19.392711
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security MALAMPA,Value in Millions (VT),9.162528
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security PENAMA,Value in Millions (VT),1.940361
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Agriculture,Improve food security SANMA,Value in Millions (VT),18.068788
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products,Value in Millions (VT),17.716547
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products MALAMPA,Value in Millions (VT),13.532413
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products PENAMA,Value in Millions (VT),8.742054
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products SANMA,Value in Millions (VT),4.526561
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products SHEFA,Value in Millions (VT),11.867263
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Biosecurity,Improve quality and safety of agriculture products TORBA,Value in Millions (VT),0.074
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources,Value in Millions (VT),23.373499
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources MALAMPA,Value in Millions (VT),9.355901
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Fisheries,Sustainable management of natural resources PENAMA,Value in Millions (VT),12.444887
2010,By Ministry,Actual,"Ministry of Agriculture, Livestock, Forestry, Fisheries and Biosecurity",Department of Forestry,Resilience towards Climate Change and Natural Resources,Value in Millions (VT),16.900162
2010,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,Energy Management and assessment,Value in Millions (VT),0.890964
2010,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Energy Department,Mines & Minerals,Value in Millions (VT),1.48
2010,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Environment Department,"Environmental management, research and extension Services",Value in Millions (VT),5.387764
2010,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",National Disaster Management Office,National Disaster Management,Value in Millions (VT),14.80415
2010,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,Development and Maintenance of Government Infrastructure,Value in Millions (VT),20.0
2010,By Ministry,Actual,"Ministry of Climate Change Adaptation, Geohazards, Meteorology and Energy",Vanuatu Meteorological Services,"Weather Forecasting, Monitoring and Research",Value in Millions (VT),34.627103
2010,By Ministry,Actual,Ministry of Cooperatives and Ni-Vanuatu Business Development Services,Ministry of Ni-Vanuatu Business Development & Coops Cabinet,Portfolio Coordination,Value in Millions (VT),9.632695
2010,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Administration & Finance Directorate,Value in Millions (VT),68.707882
2010,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Education Services Directorate,Value in Millions (VT),51.566403
2010,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Office of the Director General,Value in Millions (VT),244.661531
2010,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Primary Schools,Value in Millions (VT),141.092384
2010,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Secondary Schools,Value in Millions (VT),68.404186
2010,By Ministry,Actual,Ministry of Education & Training,Director General Directorate,Tertiary Education,Value in Millions (VT),28.868666
2010,By Ministry,Actual,Ministry of Education & Training,Education Commissions and Councils,Teaching Service Commission,Value in Millions (VT),104.681577
2010,By Ministry,Actual,Ministry of Education & Training,MoE Cabinet,Cabinet Support Division,Value in Millions (VT),7.560263
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Border Control,Value in Millions (VT),13.774339
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Corporate Services,Value in Millions (VT),24.370877
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Customs and Excise Collections,Value in Millions (VT),27.120306
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Information Services,Value in Millions (VT),22.33472
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Investigation and Legal,Value in Millions (VT),3.022231
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Ministry Executive & Internal Audit,Value in Millions (VT),13.793368
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,Rates and Taxes Collection,Value in Millions (VT),10.567155
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Customs and Inland Revenue,VAT Collections,Value in Millions (VT),23.479092
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Advance to Air Vanuatu,Value in Millions (VT),400.0
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Central Payments,Value in Millions (VT),586.022029
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Chamber of Commerce and Industry (CCI),Value in Millions (VT),25.0
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Corporate Services,Value in Millions (VT),48.819291
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Former Leaders Payment,Value in Millions (VT),4.66379
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Government Financial Services,Value in Millions (VT),135.464486
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Grant SPBEA,Value in Millions (VT),96.067625
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Information Services,Value in Millions (VT),72.644101
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Ministry Executive & Internal Audit,Value in Millions (VT),2.030038
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Public Debt Provisions,Value in Millions (VT),1029.682659
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agricultural Research and Training Centre (VARTC),Value in Millions (VT),35.692438
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agriculture College,Value in Millions (VT),82.800392
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Agriculture Development Bank,Value in Millions (VT),100.0
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Broadcasting and Television Corporation (VBTC),Value in Millions (VT),45.193316
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Cultural Centre (VCC),Value in Millions (VT),24.251505
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime Administration (VMA),Value in Millions (VT),29.383271
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Maritime College,Value in Millions (VT),41.255244
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Department of Finance & Treasury,Vanuatu Tourism Office (VTO),Value in Millions (VT),139.98837
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Corporate Services,Value in Millions (VT),3.097168
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Economic Policy Development,Value in Millions (VT),2.040117
2010,By Ministry,Actual,Ministry of Finance and Economic Management,Economic Research & Expenditure Analysis Unit,Sector Policy Coordination,Value in Millions (VT),12.189033
2010,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,Government Financial Services,Value in Millions (VT),-0.016
2010,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,Ministry Executive & Internal Audit,Value in Millions (VT),0.255034
2010,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Cabinet,Portfolio Management,Value in Millions (VT),6.073198
2010,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,Corporate Services,Value in Millions (VT),18.507758
2010,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,Government Financial Services,Value in Millions (VT),1.543361
2010,By Ministry,Actual,Ministry of Finance and Economic Management,MFEM Corporate Services,Ministry Executive & Internal Audit,Value in Millions (VT),5.624977
2010,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,Corporate Services,Value in Millions (VT),28.256713
2010,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,Ministry Executive & Internal Audit,Value in Millions (VT),0.802223
2010,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,"National Statistical Collection, Analysis & Reporting",Value in Millions (VT),0.0681
2010,By Ministry,Actual,Ministry of Finance and Economic Management,National Statistics Office,Provincial Statistics Offices,Value in Millions (VT),12.202088
2010,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",External Trade Policy and Administration,Value in Millions (VT),6.363042
2010,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade","Department of External Trade, Industry and Investment",Industry and Commerce,Value in Millions (VT),19.780185
2010,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Department of Foreign Affairs,Operations of the Department of Foreign Affairs,Value in Millions (VT),110.191827
2010,By Ministry,Actual,"Ministry of Foreign Affairs, International Cooperation and External Trade",Ministry of Foreign Affairs Cabinet,Portfolio Coordination,Value in Millions (VT),9.27598
2010,By Ministry,Actual,Ministry of Health,Department of Health,Community Health Services,Value in Millions (VT),56.603486
2010,By Ministry,Actual,Ministry of Health,Department of Health,Corporate Services,Value in Millions (VT),344.265161
2010,By Ministry,Actual,Ministry of Health,Department of Health,Hospital Services,Value in Millions (VT),178.768159
